date,description,amount
2024-01-01,Salary Credit - ABC Tech Pvt Ltd,75000
2024-01-05,Rent Payment - Landlord,18000
2024-01-07,LIC Premium Payment - Policy 123456,5000
2024-01-10,Medical - Apollo Pharmacy,850
2024-01-12,Grocery - DMart,3200
2024-01-15,Swiggy - Food Delivery,450
2024-01-18,Health Insurance - Star Health,15000
2024-01-20,PPF Deposit - SBI,12500
2024-01-22,Electricity Bill - BESCOM,1200
2024-01-25,Zomato - Food Order,680
2024-01-28,Uber Ride,250
2024-02-01,Salary Credit - ABC Tech Pvt Ltd,75000
2024-02-05,Home Loan EMI - HDFC Bank,22000
2024-02-08,Tuition Fees - ABC School,8000
2024-02-10,Medical - Fortis Hospital,3500
2024-02-12,Donation - PM Cares Fund,2000
2024-02-15,Flipkart Shopping,1800
2024-02-18,Mobile Recharge - Airtel,399
2024-02-20,ELSS Mutual Fund - Axis,10000
2024-02-25,Restaurant - Barbeque Nation,2200
2024-02-28,Petrol - HP,3000
2024-03-01,Salary Credit - ABC Tech Pvt Ltd,75000
2024-03-05,Rent Payment - Landlord,18000
2024-03-10,NPS Contribution,5000
2024-03-12,Internet Bill - ACT Fibernet,899
2024-03-15,Amazon Shopping,2400
2024-03-18,Doctor Consultation - Practo,500
2024-03-20,Charitable Donation - NGO,1500
2024-03-25,Ola Cab,180
2024-03-28,Gas Bill - Indane,650
