date,description,amount
2025-01-01,Salary Deposit from Tech Corp,5000.00
2025-01-02,Rent Payment to Landlord,-1200.00
2025-01-05,Medical Pharmacy Purchase,-45.50
2025-01-07,Grocery Shopping at Whole Foods,-120.30
2025-01-10,Freelance Income - Client A,800.00
2025-01-12,Uber Ride to Office,-25.00
2025-01-15,Doctor Visit Copay,-50.00
2025-01-18,Restaurant Dining - Joe's Pizza,-45.00
2025-01-20,Charity Donation to Red Cross,-100.00
2025-01-22,Salary Deposit from Tech Corp,5000.00
2025-01-25,Electricity Bill Payment,-85.00
2025-01-28,Medical Hospital Bill,-200.00
2025-01-30,Grocery Shopping at Trader Joe's,-95.50
